Metrics,LoadPoint,Link,Core,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4
Utilization,0,all,all, - , - , ,0.023496148484146502,0.024084931957701852,0.023637769590045814,0.023712892774457546,0.023790067516931395
Utilization,1,all,all, - , - , ,0.036544465818573575,0.036282988449443734,0.03604714797866276,0.03661902458709443,0.03631898442278876
Utilization,2,all,all, - , - , ,0.049144927856606055,0.04887374241289314,0.04970064468186369,0.049807404051419694,0.04982526885251113
Utilization,3,all,all, - , - , ,0.06175064992947045,0.06219432456759895,0.0618098462097282,0.06234493828918266,0.061873132421415955
Utilization,4,all,all, - , - , ,0.07501302207939664,0.07393679574556146,0.07498689153814853,0.07420878338424138,0.07465063035146897


Utilization Per Link,0,<13-21>,all, - , - , ,0.042565773925373605,0.04298478076516621,0.04233238509981234,0.04299234433214556,0.04356444715147379
Utilization Per Link,0,<16-11>,all, - , - , ,0.016016937003005632,0.016791144761719185,0.01566678859895981,0.015441710573875285,0.016213915573041415
Utilization Per Link,0,<16-18>,all, - , - , ,0.019158554259575702,0.018776874339653214,0.019089947797917874,0.018843869036031653,0.019685406008454358
Utilization Per Link,0,<12-11>,all, - , - , ,0.0046558642189836056,0.005550085497413845,0.005059765646720993,0.005188950154311301,0.005169039857085778
Utilization Per Link,0,<16-17>,all, - , - , ,0.006927319378022657,0.007584910922815988,0.007560408615081627,0.0068426517405329275,0.00713884727937595
Utilization Per Link,0,<12-13>,all, - , - , ,0.03569401048907173,0.03728183822916117,0.03723370683423637,0.036653745030028495,0.03694318071233818
Utilization Per Link,0,<23-21>,all, - , - , ,0.00915334534699592,0.009170488273647286,0.008103894998053356,0.009098975421231982,0.009218198263638084
Utilization Per Link,0,<1-2>,all, - , - , ,0.003904829387476544,0.003467576148306854,0.003980008897291369,0.0036449919715836106,0.003654714695823694
Utilization Per Link,0,<23-24>,all, - , - , ,0.016799607615527196,0.018164329679420853,0.01820498439498357,0.0185787662306018,0.017546093880332087
Utilization Per Link,0,<1-3>,all, - , - , ,0.023626189491464524,0.024031893837232574,0.02295136813240526,0.02506440544542101,0.023868036826448464
Utilization Per Link,0,<3-1>,all, - , - , ,0.022953084162821,0.02427935411221802,0.02423282579380353,0.024407886962687603,0.02412566295251008
Utilization Per Link,0,<3-2>,all, - , - , ,0.023504155834679533,0.024544913077629123,0.023239813295892104,0.02413806615970485,0.024403612091978256
Utilization Per Link,0,<12-9>,all, - , - , ,0.07881069534421845,0.08021987780125744,0.07870606962130737,0.0774898732483446,0.07834869651198155
Utilization Per Link,0,<12-18>,all, - , - , ,0.07449924060223455,0.07408167609686676,0.07311724962464528,0.07509961665183987,0.0735808602221537
Utilization Per Link,0,<3-5>,all, - , - , ,0.008320101797532222,0.00935233970972553,0.008934996767780626,0.008776761385754023,0.00922052250736843
Utilization Per Link,0,<5-3>,all, - , - , ,0.008384559375523033,0.008182497879942022,0.008772212819051741,0.009078704540398393,0.00838555858310662
Utilization Per Link,0,<5-4>,all, - , - , ,0.0246680197964755,0.026514598857255395,0.023914517356668063,0.024116061870930943,0.024327272632484867
Utilization Per Link,0,<10-9>,all, - , - , ,0.024924055879166424,0.02548655327253753,0.024903163751871803,0.025474393350665776,0.025361682735083983
Utilization Per Link,0,<10-8>,all, - , - , ,0.046117757048321786,0.04689128708363608,0.046762880220208074,0.04620944954957372,0.04603203372629697
Utilization Per Link,0,<5-6>,all, - , - , ,0.03464298312989898,0.034827745301118894,0.03375957935967348,0.033616909894068604,0.034753977715065505
Utilization Per Link,0,<7-4>,all, - , - , ,0.003047539690262684,0.003024310286102895,0.0028104537966410956,0.002897741095756733,0.0027675573805819
Utilization Per Link,0,<3-9>,all, - , - , ,0.04447361744425258,0.04670070344214087,0.045636321456375695,0.04654943210254106,0.04650972011760943
Utilization Per Link,0,<9-3>,all, - , - , ,0.0455263521450842,0.04782800075071004,0.04638090488238764,0.04621524929794751,0.046010707160928706
Utilization Per Link,0,<5-8>,all, - , - , ,0.005593073145470329,0.005774047016626152,0.005856455576099541,0.0057410775107044655,0.00631669493410408
Utilization Per Link,0,<7-6>,all, - , - , ,0.01063955367569519,0.011380783239727252,0.010712560995105185,0.010729308583106528,0.010983181164153052
Utilization Per Link,0,<5-9>,all, - , - , ,0.06986545018211564,0.07076646172774402,0.06968883372490921,0.07079739371907198,0.0701247141397428
Utilization Per Link,0,<9-5>,all, - , - , ,0.055387844596283396,0.056512370189899255,0.054605521534226244,0.0551160036562317,0.05584708909108719
Utilization Per Link,0,<19-18>,all, - , - , ,0.022130840585551367,0.023083598050939125,0.022590775836903686,0.02188123418645186,0.02288531616665995
Utilization Per Link,0,<7-8>,all, - , - , ,0.013424436446920159,0.014188808527501654,0.013947165378412993,0.013438077802647422,0.014014955096482491
Utilization Per Link,0,<15-11>,all, - , - , ,0.015674695372020087,0.0160860474128353,0.015579123338710824,0.016679568029526876,0.017386333620643495
Utilization Per Link,0,<21-18>,all, - , - , ,0.01546204227603875,0.016689794701942137,0.015697764034090192,0.014989547419785887,0.015835932721181244
Utilization Per Link,0,<15-17>,all, - , - , ,0.011418531564535216,0.011711381930156346,0.011851900927268136,0.01152463437691172,0.01202300002085314
Utilization Per Link,0,<19-17>,all, - , - , ,0.0293303354209572,0.029365216454426676,0.028835310605850952,0.030915752029693717,0.030143924991662394
Utilization Per Link,0,<11-12>,all, - , - , ,0.012278380102041965,0.011875768955404686,0.012140954304066396,0.012658969582387457,0.01171984043958607
Utilization Per Link,0,<21-13>,all, - , - , ,0.030868789273203148,0.030956046161651724,0.031691371712170395,0.030967810744870882,0.032032961686036275
Utilization Per Link,0,<9-10>,all, - , - , ,0.03814659591697702,0.04108819788133155,0.040052818981817354,0.04111080603903368,0.04083844377328463
Utilization Per Link,0,<9-11>,all, - , - , ,0.01760945232998124,0.017641157621088845,0.017438088229159893,0.016896491651839308,0.01776866085330903
Utilization Per Link,0,<9-12>,all, - , - , ,0.07774895908636109,0.07825617423399854,0.07767174206194762,0.08022552115192277,0.07855677063059488
Utilization Per Link,0,<22-20>,all, - , - , ,0.026252954178945152,0.02763176941416822,0.02668211383667822,0.025150359019630787,0.026648153811934003
Utilization Per Link,0,<22-21>,all, - , - , ,0.006482220187121728,0.006874943523050021,0.006721517370573088,0.006696146186675401,0.0067386472640838194
Utilization Per Link,0,<22-24>,all, - , - , ,0.010462072686705431,0.010134128412945231,0.010483494828451517,0.01017977047767359,0.010305431692433217
Utilization Per Link,0,<11-15>,all, - , - , ,0.0170771744494791,0.016429362105879444,0.01585175495607118,0.01578509912139344,0.016441652359173446
Utilization Per Link,0,<11-16>,all, - , - , ,0.009300945684811846,0.009999361376022822,0.010277870940610454,0.009488162431185117,0.009229875959237318
Utilization Per Link,0,<20-19>,all, - , - , ,0.02994977461352512,0.030315097939721446,0.029182205068674933,0.03072633702663713,0.030032335226325826
Utilization Per Link,0,<20-18>,all, - , - , ,0.031130364441415505,0.03265338270867074,0.032549048059279065,0.030676876251181543,0.03246861619307339
Utilization Per Link,0,<18-19>,all, - , - , ,0.022562554739198364,0.022072608505256067,0.023477372727021113,0.023703167574934195,0.022648738565587623
Utilization Per Link,0,<14-10>,all, - , - , ,0.03881584777984758,0.038227740261636896,0.036882889395540165,0.03639797395456856,0.036317785373683714
Utilization Per Link,0,<14-13>,all, - , - , ,0.01584125893204807,0.015938321087970234,0.015374120697326158,0.015211475768785038,0.01666418457710081
Utilization Per Link,0,<18-16>,all, - , - , ,0.02521340467385925,0.02627274717789453,0.024097828504699284,0.024997050165433243,0.024955026969917325
Utilization Per Link,0,<18-12>,all, - , - , ,0.07719367336512267,0.08086834180197752,0.07997826506283796,0.07614232886615274,0.0802615925457351
Utilization Per Link,0,<8-10>,all, - , - , ,0.030409931428297003,0.03230393809431028,0.0315976243188001,0.031091964459490747,0.030936370460994483
Utilization Per Link,0,<19-20>,all, - , - , ,0.029681617708391436,0.030474979842073948,0.029781325592227986,0.030288119334926745,0.02948324459211121
Utilization Per Link,0,<11-3>,all, - , - , ,0.014103046106046017,0.014581292922485188,0.014045791511428825,0.014338281293443606,0.015622276073234654
Utilization Per Link,0,<2-1>,all, - , - , ,0.0037498175360059466,0.003780197790968105,0.004077952962519683,0.003760400447644404,0.003681784532613862
Utilization Per Link,0,<2-3>,all, - , - , ,0.023433798587552113,0.024103693418783625,0.024497051034307358,0.02391458252238269,0.024719313900630403
Utilization Per Link,0,<10-14>,all, - , - , ,0.03617064119585155,0.03777688911054668,0.03787796981871898,0.03766199761580285,0.03756058239031488
Utilization Per Link,0,<21-23>,all, - , - , ,0.007393167331647181,0.008152022048601415,0.007479724774789401,0.008065807811544255,0.0076582831702156065
Utilization Per Link,0,<2-4>,all, - , - , ,0.0058587059653556674,0.005639249569037103,0.005630973523605185,0.005577546328476333,0.0056154162959455994
Utilization Per Link,0,<4-2>,all, - , - , ,0.005427899787298443,0.005644110931157349,0.005242711866761839,0.005757586157760277,0.005575374138074589
Utilization Per Link,0,<10-13>,all, - , - , ,0.028183301590391334,0.029837294250126486,0.02871269914641697,0.028693974865153394,0.028336575689539636
Utilization Per Link,0,<21-22>,all, - , - , ,0.008475322179280454,0.007598191694934315,0.007201914655508777,0.007312461769448658,0.007278784129456386
Utilization Per Link,0,<11-9>,all, - , - , ,0.016477067751488748,0.01800365275537785,0.016791049185342834,0.017869437454817113,0.017930358706838085
Utilization Per Link,0,<21-20>,all, - , - , ,0.02879341339737532,0.02859810741394894,0.028442626369347523,0.02943364914085795,0.02986357340960883
Utilization Per Link,0,<4-5>,all, - , - , ,0.024354746496690734,0.02340638988906087,0.02323672444114074,0.025660311127174783,0.024109258570596162
Utilization Per Link,0,<4-6>,all, - , - , ,0.002897927904131566,0.002913493820552697,0.0027201949410546435,0.0026880769337700194,0.002522043388199695
Utilization Per Link,0,<6-4>,all, - , - , ,0.0023730962923312,0.002724087506255472,0.0022676407926924777,0.0027782184910741365,0.0028432321498072536
Utilization Per Link,0,<4-7>,all, - , - , ,0.0031229233859753464,0.002846168951231155,0.0029534230245224853,0.0028144766932655793,0.0028979670035581507
Utilization Per Link,0,<6-5>,all, - , - , ,0.033309158302286285,0.03537946428571499,0.035215359645220115,0.033497873860033146,0.03455079102485654
Utilization Per Link,0,<6-7>,all, - , - , ,0.011237514249568856,0.01120466204193202,0.010997461143858016,0.011443081660457748,0.010368294882666409
Utilization Per Link,0,<8-5>,all, - , - , ,0.02179451600122361,0.021915207244341903,0.02119171144275023,0.020779490525774984,0.01962975883472747
Utilization Per Link,0,<13-10>,all, - , - , ,0.02689179103181109,0.028368085483515305,0.028946557165101083,0.028251912396428915,0.028879240984540516
Utilization Per Link,0,<17-16>,all, - , - , ,0.007014250437912343,0.007124749763665674,0.0066352292790407535,0.00696083627592947,0.007158005998720629
Utilization Per Link,0,<14-23>,all, - , - , ,0.03134593261691446,0.03312742416448949,0.03262608261969783,0.03297625709003166,0.03218528002140998
Utilization Per Link,0,<8-7>,all, - , - , ,0.014162511990491759,0.013598911124396627,0.01461711234221441,0.013976798399875829,0.013605601470838575
Utilization Per Link,0,<17-19>,all, - , - , ,0.030302985806037405,0.029854637018296687,0.02978311113273874,0.029889196567592858,0.029490660450148046
Utilization Per Link,0,<13-14>,all, - , - , ,0.015403336658231584,0.01605251313740964,0.01629811836178793,0.01560210076878286,0.01597573489545804
Utilization Per Link,0,<13-12>,all, - , - , ,0.02504038101957421,0.026514372949453854,0.024361097981426782,0.025001542255187383,0.025136361424675374
Utilization Per Link,0,<17-15>,all, - , - , ,0.01149534021714934,0.012052780751268054,0.01111663619807713,0.012399544882668092,0.011703653276708897
Utilization Per Link,0,<18-20>,all, - , - , ,0.03238484784240139,0.031287105356441816,0.03249082466774169,0.03287133160484725,0.03144498015486693
Utilization Per Link,0,<18-21>,all, - , - , ,0.0036910815075346286,0.0034445900294714196,0.003546161652671435,0.003627922899404183,0.003717590919201216
Utilization Per Link,0,<3-11>,all, - , - , ,0.015196348634824606,0.015643189922426984,0.01524695198242749,0.015029863273649597,0.014904840682870932
Utilization Per Link,0,<24-22>,all, - , - , ,0.00916911110493207,0.009599930316134223,0.00929362974754027,0.00878478545709857,0.009295111181394759
Utilization Per Link,0,<24-23>,all, - , - , ,0.01906345576377923,0.019680140618915022,0.018071889944670044,0.018271522931381224,0.01826769118750958
Utilization Per Link,0,<23-14>,all, - , - , ,0.03307005227159106,0.03439909828032268,0.032054844332148405,0.03144608797197125,0.03221757180392733
Utilization Per Link,0,<20-22>,all, - , - , ,0.027285135614194378,0.026674402560751802,0.027973133480230658,0.026760125882778287,0.02631806341405497
Utilization Per Link,0,<20-21>,all, - , - , ,0.027668774849861404,0.028467684757830094,0.028551757215149076,0.02878411207807465,0.028442530792970808
Utilization Per Link,1,<13-21>,all, - , - , ,0.06572979515375332,0.06606862210142989,0.06285939324640379,0.06883703098064607,0.06477655111772157
Utilization Per Link,1,<16-11>,all, - , - , ,0.02545957901211727,0.024199222008286187,0.02393569186870751,0.023078119786740993,0.025463397722841584
Utilization Per Link,1,<16-18>,all, - , - , ,0.02881005237585406,0.02841592580492867,0.029476697610243432,0.0296373006798069,0.030462789509538103
Utilization Per Link,1,<12-11>,all, - , - , ,0.008542729591835564,0.008151244404437407,0.00807380581660616,0.007992604994995992,0.008347797225155438
Utilization Per Link,1,<16-17>,all, - , - , ,0.010177559187842878,0.010197769247344259,0.010679074507870234,0.011945948082910806,0.009843437204580969
Utilization Per Link,1,<12-13>,all, - , - , ,0.05725285252043688,0.05567637664739235,0.05748287010649275,0.05640929541094239,0.0560350617597171
Utilization Per Link,1,<23-21>,all, - , - , ,0.01330423177445723,0.012465748901742808,0.014406336018742342,0.012766058569206387,0.01342324608658429
Utilization Per Link,1,<1-2>,all, - , - , ,0.0063741406814759516,0.0054572026358224385,0.00607192817522034,0.005483638193015028,0.005554573242785712
Utilization Per Link,1,<23-24>,all, - , - , ,0.027344258292551694,0.027142952719233216,0.026866189595730613,0.02644044027692788,0.025777857038590986
Utilization Per Link,1,<1-3>,all, - , - , ,0.03762387132986749,0.03607781481121108,0.03461653019518795,0.03829041229911606,0.03628171397987131
Utilization Per Link,1,<3-1>,all, - , - , ,0.03834243625924291,0.03496885947839458,0.03732125479619128,0.03837627898570724,0.03868917432436094
Utilization Per Link,1,<3-2>,all, - , - , ,0.03657896085886412,0.03644975897375369,0.03655245144720183,0.037025810835230925,0.03712086588722421
Utilization Per Link,1,<12-9>,all, - , - , ,0.12269968077490004,0.12091099058833155,0.11889950317661113,0.12179130550381202,0.12251509672329022
Utilization Per Link,1,<12-18>,all, - , - , ,0.11122537170521932,0.1119446187023865,0.11364479213006533,0.11497603205110098,0.11270341694238861
Utilization Per Link,1,<3-5>,all, - , - , ,0.014410054808710758,0.013800194975811017,0.012917038835293304,0.013129479056612476,0.013424106273985143
Utilization Per Link,1,<5-3>,all, - , - , ,0.01263249058138257,0.013009022410056111,0.013666722564369231,0.013499455214647755,0.013631059542345616
Utilization Per Link,1,<5-4>,all, - , - , ,0.03657086293304496,0.04049167095311856,0.0379909410971448,0.036744963993773146,0.038054460288886344
Utilization Per Link,1,<10-9>,all, - , - , ,0.03924308722126108,0.03766413939554094,0.03931590338792721,0.038798839529001095,0.04048960302786212
Utilization Per Link,1,<10-8>,all, - , - , ,0.0699415333231386,0.0706222239406662,0.07022003854334831,0.07314293794834135,0.06776876946282617
Utilization Per Link,1,<5-6>,all, - , - , ,0.0537363499555155,0.05206346358365941,0.05262724256937503,0.05337598356781183,0.05166782951259498
Utilization Per Link,1,<7-4>,all, - , - , ,0.005064331590946436,0.004443801958793444,0.004188061293999314,0.004733042143968519,0.004054241332090327
Utilization Per Link,1,<3-9>,all, - , - , ,0.06955731194044405,0.07087200845938095,0.06834100261358236,0.07192928738252762,0.06815494147249725
Utilization Per Link,1,<9-3>,all, - , - , ,0.07255883594922645,0.06819647809737218,0.06980213517628138,0.07307482240171327,0.07224925971751466
Utilization Per Link,1,<5-8>,all, - , - , ,0.009993544250123667,0.00900228688205606,0.0090353041761672,0.009315508049269472,0.009006275023632609
