Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,1,6,all,all, ,-24.872966182828986,-25.066190499327917,-24.935892294268413,-25.215562824925104,-24.524622632425398
Average Crosstalk per overlaps,1,7,all,all, ,-25.61461710816932,-25.412026410047673,-25.351479477892696,-25.6596263348635,-25.180688649151815
Average Crosstalk per overlaps,1,8,all,all, ,-24.95223131867624,-24.991950828169895,-24.970132480150152,-24.744356341214484,-24.934432712518806
Average Crosstalk per overlaps,1,9,all,all, ,-23.415130847790827,-23.72749831124405,-23.807824441897026,-23.277851664145672,-23.56056253755486
Average Crosstalk per overlaps,1,10,all,all, ,-23.712057790471114,-23.796911244519592,-23.4891815525597,-23.510398857128926,-23.844255733838875
Average Crosstalk per overlaps,1,11,all,all, ,-23.364011931512128,-23.674195882200802,-23.30060541956295,-23.32071553360433,-23.209368584566484
Average Crosstalk per overlaps,1,12,all,all, ,-23.006732140551616,-23.052116075942436,-23.127684106801468,-22.898696732285014,-23.34533600103811
Average Crosstalk per overlaps,1,13,all,all, ,-23.134049962383656,-22.966551104538002,-22.778550767881825,-22.816211374728553,-22.72329393642635
Average Crosstalk per overlaps,1,14,all,all, ,-22.865565795022512,-23.088512674770342,-22.756924262994794,-22.91557939240695,-23.125606899067865
Average Crosstalk per overlaps,1,15,all,all, ,-22.018440092671778,-21.998830299447494,-22.339681046064886,-22.217092394642087,-21.933961724693887
Average Crosstalk per overlaps,1,16,all,all, ,-22.509581449399672,-22.250389610014388,-22.62498848803746,-22.488467000186915,-22.515397753469898
Average Crosstalk per overlaps,1,17,all,all, ,-21.98151475075813,-22.454983451565386,-22.240640963644474,-22.50430719710126,-22.183477879377925
Average Crosstalk per overlaps,1,18,all,all, ,-22.407032321676787,-21.763962719679657,-22.45455849170302,-22.13038672264265,-22.234261243860953
Average Crosstalk per overlaps,1,19,all,all, ,-21.97891332434719,-22.020451035788007,-21.785650876024885,-22.395042892475377,-21.768657732663424
Average Crosstalk per overlaps,1,20,all,all, ,-21.54379822057984,-21.663957296857124,-21.943040022397348,-21.700984225679033,-21.906071080723947
Average Crosstalk per overlaps,1,21,all,all, ,-21.828577549516698,-21.71253553712326,-21.870313106507776,-21.801862344822254,-21.86220998283466
Average Crosstalk per overlaps,1,22,all,all, ,-21.880675230817936,-21.817308978208295,-21.573877972675643,-21.718220169254604,-21.212387880354502
