Metrics,LoadPoint,Link,Core,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4
Utilization,0,all,all, - , - , ,0.02482337707673565,0.024357484517434795,0.024416700903081897,0.024690979091283097,0.024797826661873138
Utilization,1,all,all, - , - , ,0.03754346467117234,0.038124229175504294,0.03754705181629871,0.0378390297696373,0.03765431195151642
Utilization,2,all,all, - , - , ,0.050665786360406244,0.050603123314784615,0.05066144490953371,0.05099154232914072,0.05136469523986721
Utilization,3,all,all, - , - , ,0.06381890925489798,0.06379870333771273,0.06424278548886274,0.06467415820448738,0.06440248624063927
Utilization,4,all,all, - , - , ,0.0768151721680132,0.07761389526760781,0.0774907076220391,0.07709214826721067,0.07674529679354752


Utilization Per Link,0,<13-21>,all, - , - , ,0.04439681748039711,0.04370976234499374,0.04538771860924454,0.042569736000665714,0.04436280097870121
Utilization Per Link,0,<16-11>,all, - , - , ,0.016236097981427593,0.016108929266532557,0.015720089807041128,0.01702338232636361,0.017504839640215705
Utilization Per Link,0,<16-18>,all, - , - , ,0.019217120857198216,0.020856138436300593,0.019197927382805943,0.01997965092030934,0.018978566562864386
Utilization Per Link,0,<12-11>,all, - , - , ,0.0048286749986087485,0.005004127161762227,0.004716507430628613,0.005592221646832686,0.0050702486376013175
Utilization Per Link,0,<16-17>,all, - , - , ,0.006787043666239476,0.006758844290441022,0.007315976373520671,0.007195250375355516,0.006775822130622468
Utilization Per Link,0,<12-13>,all, - , - , ,0.037196462457596946,0.037402937844075466,0.03875773299783266,0.03647609026580771,0.03843482820580743
Utilization Per Link,0,<23-21>,all, - , - , ,0.00875845416504479,0.009009594130568878,0.009663419097203174,0.009145859978870399,0.008641403513040866
Utilization Per Link,0,<1-2>,all, - , - , ,0.0037328874840120915,0.0038393899794248653,0.0037624596841463833,0.0040342528360110055,0.003698371378524177
Utilization Per Link,0,<23-24>,all, - , - , ,0.01870838083189602,0.01904404941472379,0.016805494251520427,0.01865764715286515,0.01813802879803148
Utilization Per Link,0,<1-3>,all, - , - , ,0.02595578984318441,0.023203781001497063,0.023706621357672535,0.025628653624255694,0.02580420570816964
Utilization Per Link,0,<3-1>,all, - , - , ,0.024799111487235685,0.025395655792973315,0.024420807151198043,0.025132438448811866,0.025163057644719444
Utilization Per Link,0,<3-2>,all, - , - , ,0.02565063619112549,0.023661748248343533,0.02365652195824058,0.025712504518156664,0.023838981607632308
Utilization Per Link,0,<12-9>,all, - , - , ,0.08197491641410935,0.0818079053828635,0.08278851032919891,0.08386468296446649,0.081456775148748
Utilization Per Link,0,<12-18>,all, - , - , ,0.07916163008118662,0.0745110833843077,0.07515718404187594,0.07732923107935576,0.07821783941778186
Utilization Per Link,0,<3-5>,all, - , - , ,0.008554589751430261,0.00876268124756774,0.009155891154145975,0.008392813699049897,0.009427319378023305
Utilization Per Link,0,<5-3>,all, - , - , ,0.00845556827976398,0.008798548455486645,0.008486552403660757,0.008484067417840316,0.008952261337096331
Utilization Per Link,0,<5-4>,all, - , - , ,0.025881079526497854,0.023727565617529513,0.02682059097480853,0.025128841301505164,0.026429514159205567
Utilization Per Link,0,<10-9>,all, - , - , ,0.026786009703607894,0.025987516856199884,0.024902503405994713,0.026151260913084586,0.025869023869763162
