Metrics,LoadPoint,Link,Core,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4
Utilization,0,all,all, - , - , ,0.02493716242140466,0.024947563121629945,0.024828940713063435,0.024672190957723005,0.02475224031635493
Utilization,1,all,all, - , - , ,0.03800102592047531,0.03788689241914837,0.03778615708925303,0.037869221195583745,0.037995452332483665
Utilization,2,all,all, - , - , ,0.051259753336969915,0.051130093170196705,0.05106757030662993,0.05113763395443446,0.051320531830610944
Utilization,3,all,all, - , - , ,0.06492591734530619,0.06505443074709429,0.06440654697378863,0.06500825159566084,0.06508230833561758
Utilization,4,all,all, - , - , ,0.07714816749168116,0.0769006773111937,0.07753485587648115,0.0779903663759798,0.07771778744686493


Utilization Per Link,0,<13-21>,all, - , - , ,0.04663315266501727,0.04517659039092612,0.045070009696656005,0.04450971490435553,0.04580933207751528
Utilization Per Link,0,<16-11>,all, - , - , ,0.01653847991853429,0.016206317251015557,0.016812145498527723,0.01633571897764767,0.016535260732357414
Utilization Per Link,0,<16-18>,all, - , - , ,0.01910127359867274,0.020062454818439254,0.01901764861257922,0.01998658889645744,0.01864660808124023
Utilization Per Link,0,<12-11>,all, - , - , ,0.0054171735110923065,0.005374746288159909,0.00530757781654865,0.0053240908079851285,0.004869433979313606
Utilization Per Link,0,<16-17>,all, - , - , ,0.007716684681365907,0.006731500757661223,0.0068458448604248705,0.006950505338375308,0.007035729056608655
Utilization Per Link,0,<12-13>,all, - , - , ,0.03917296022632534,0.03881845875271267,0.036901917783461406,0.0382658926138598,0.03875289335761838
Utilization Per Link,0,<23-21>,all, - , - , ,0.00841936221014339,0.008176380991770222,0.009085290621698005,0.009249851422177309,0.00958827868681565
Utilization Per Link,0,<1-2>,all, - , - , ,0.003974439401101667,0.0038295412681418877,0.004045952253516658,0.003568139875159913,0.0033826174373016065
Utilization Per Link,0,<23-24>,all, - , - , ,0.018647794097203504,0.019504875264137113,0.018560459009899274,0.018870343692654036,0.018365822061109892
Utilization Per Link,0,<1-3>,all, - , - , ,0.02636192862703524,0.02677331107851884,0.02595502957654594,0.024446000215482124,0.026219367770953215
Utilization Per Link,0,<3-1>,all, - , - , ,0.026744373157983208,0.02513808179947967,0.025648329324918766,0.025302564401100295,0.025880371392427114
Utilization Per Link,0,<3-2>,all, - , - , ,0.025828912201799576,0.02503049755324301,0.026498285707335013,0.02557192469971645,0.024495695587497614
Utilization Per Link,0,<12-9>,all, - , - , ,0.08489623012011448,0.08427691257020282,0.08197962137852298,0.08391294469081688,0.08360825154312518
Utilization Per Link,0,<12-18>,all, - , - , ,0.07848487112829067,0.07994966600400623,0.07868232323583658,0.0754021332647496,0.07920446133153466
Utilization Per Link,0,<3-5>,all, - , - , ,0.008862015514652767,0.008756394928544155,0.008962401121892973,0.008742662340821293,0.009600725337819489
Utilization Per Link,0,<5-3>,all, - , - , ,0.008787035846355686,0.008741767398376765,0.008690812155926042,0.008804317793193692,0.008316913022021028
