Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,5.060334760607241E-4,3.6006228104320745E-4,5.644219540677306E-4,4.671078240560529E-4,6.422732580770728E-4
Percentage of cicuits per modulation,0,8QAM,all, ,0.08837096146360451,0.08700856364344103,0.08742701440249125,0.08635655897236279,0.08618139353834177
Percentage of cicuits per modulation,0,16QAM,all, ,0.30648112105877773,0.30543985986765276,0.30564421954067733,0.3063351498637602,0.30784351887894124
Percentage of cicuits per modulation,0,32QAM,all, ,0.2123491630984819,0.2132541845075905,0.21231023744647723,0.21214480342545738,0.21238808875048656
Percentage of cicuits per modulation,0,64QAM,all, ,0.39229272090307515,0.39393732970027245,0.3940541066562865,0.39469637991436357,0.3929447255741534
Percentage of cicuits per modulation,1,4QAM,all, ,0.0010704554301284547,0.0012164266251459713,9.050214091086026E-4,0.001148317908893625,8.077072790969249E-4
Percentage of cicuits per modulation,1,8QAM,all, ,0.10130400934215648,0.10169326586220319,0.09923121837290774,0.09858990453390944,0.09871545348384586
Percentage of cicuits per modulation,1,16QAM,all, ,0.3253308680420397,0.32724795640326976,0.327899961074348,0.32603470255646705,0.32852277150642273
Percentage of cicuits per modulation,1,32QAM,all, ,0.21629038536395484,0.21311794472557416,0.2140424289606851,0.2176354382584494,0.21195017516543402
Percentage of cicuits per modulation,1,64QAM,all, ,0.3560042818217205,0.3567244063838069,0.35792137018295056,0.3565916367422805,0.3600038925652005
Percentage of cicuits per modulation,2,4QAM,all, ,0.0020728313124039003,0.001994959079010111,0.001897625535227715,0.0031141430754109208,0.002627481510315298
Percentage of cicuits per modulation,2,8QAM,all, ,0.10757313299207848,0.10959623974542376,0.10930323082911639,0.11026985996087858,0.10993577267419229
Percentage of cicuits per modulation,2,16QAM,all, ,0.3404893049689562,0.3379557994920153,0.3373783573374854,0.33851708399427777,0.3375243285325029
Percentage of cicuits per modulation,2,32QAM,all, ,0.21725802370618347,0.2155237010870094,0.21928766056831453,0.21666650447171482,0.21876216426625145
Percentage of cicuits per modulation,2,64QAM,all, ,0.332606707020378,0.3349293005965414,0.332133125729856,0.33143240849771793,0.331150253016738
Percentage of cicuits per modulation,3,4QAM,all, ,0.005480972361491058,0.004623456009032773,0.004760235967525261,0.004341604446737469,0.004964953271028037
Percentage of cicuits per modulation,3,8QAM,all, ,0.11390297802743407,0.11482718008117815,0.11540408465237623,0.11683393849718185,0.11413551401869158
Percentage of cicuits per modulation,3,16QAM,all, ,0.34581722952910365,0.34407272939642,0.34556976812102097,0.3454593242282944,0.34460669781931463
Percentage of cicuits per modulation,3,32QAM,all, ,0.21943360040498835,0.22162414709403622,0.22119035103089774,0.21988376960292816,0.22116433021806853
Percentage of cicuits per modulation,3,64QAM,all, ,0.31536521967698283,0.31485248741933286,0.31307556022817984,0.31348136322485814,0.3151285046728972
Percentage of cicuits per modulation,4,4QAM,all, ,0.005657667165010406,0.006520230309784256,0.006124123381063077,0.0058354348718550235,0.006076829887842432
Percentage of cicuits per modulation,4,8QAM,all, ,0.12095095711312404,0.12004262099572813,0.12160340684886015,0.11895685492541982,0.11806831060221189
Percentage of cicuits per modulation,4,16QAM,all, ,0.3472381008217786,0.35236614954495243,0.34801039245179816,0.3483666647117471,0.348294188909297
Percentage of cicuits per modulation,4,32QAM,all, ,0.22250559415276677,0.2216878305326647,0.22240237541755387,0.22519695814517232,0.22562429168783463
Percentage of cicuits per modulation,4,64QAM,all, ,0.3036476807473202,0.2993831686168705,0.30185970190072475,0.3016440873458057,0.3019363789128141


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,2.9194239003503307E-5,9.731413001167769E-6,1.9462826002335538E-5,0.0,9.731413001167769E-6
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,4.8657065005838845E-5,4.8657065005838845E-5,8.758271701050993E-5,7.785130400934215E-5,5.8388478007006614E-5
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,1.3623978201634878E-4,1.0704554301284547E-4,2.0435967302452317E-4,1.4597119501751654E-4,2.0435967302452317E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,2.1409108602569093E-4,1.2650836901518102E-4,1.8489684702218762E-4,1.1677695601401323E-4,2.3355391202802646E-4
