Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.03111132736473336,0.029564032697547683,0.029992214869599066,0.03141300116776956,0.03242506811989101
Percentage of cicuits per modulation,0,8QAM,all, ,0.1555858310626703,0.1547100038925652,0.15583884780070067,0.15304593226936553,0.15741533670688984
Percentage of cicuits per modulation,0,16QAM,all, ,0.3815687037757882,0.3810237446477229,0.3798851693265862,0.38286298170494354,0.3797781237835734
Percentage of cicuits per modulation,0,32QAM,all, ,0.2105683145192682,0.21183339820942002,0.21075321136629038,0.21093810821331258,0.20973141300116777
Percentage of cicuits per modulation,0,64QAM,all, ,0.2211658232775399,0.22286882055274426,0.22353055663682367,0.2217399766446088,0.220650058388478
Percentage of cicuits per modulation,1,4QAM,all, ,0.037757882444530946,0.037368625924484235,0.03743674581549241,0.037251848968470225,0.036667964188400154
Percentage of cicuits per modulation,1,8QAM,all, ,0.16873297002724796,0.16948228882833788,0.1717107824056053,0.17065978980147917,0.16888867263526663
Percentage of cicuits per modulation,1,16QAM,all, ,0.3960198520825224,0.39575710393149083,0.3949299338263916,0.39573764110548854,0.3981899571817828
Percentage of cicuits per modulation,1,32QAM,all, ,0.2063740755157649,0.20684118333982093,0.2050700661736084,0.20689957181782795,0.20698715453483846
Percentage of cicuits per modulation,1,64QAM,all, ,0.19111521992993383,0.1905507979758661,0.1908524717789023,0.18945114830673412,0.18926625145971196
Percentage of cicuits per modulation,2,4QAM,all, ,0.04149474503697937,0.04226352666407162,0.04136823666796419,0.04039509536784741,0.040949785908913974
Percentage of cicuits per modulation,2,8QAM,all, ,0.17772479564032698,0.176274815103153,0.17812378357337486,0.17861035422343324,0.17746204748929545
Percentage of cicuits per modulation,2,16QAM,all, ,0.40510899182561305,0.40833008952899963,0.4091961852861035,0.40858310626703,0.40897236278707666
Percentage of cicuits per modulation,2,32QAM,all, ,0.20330868042039704,0.20158622031919035,0.20137212923316467,0.20303620085636434,0.2019560140132347
Percentage of cicuits per modulation,2,64QAM,all, ,0.17236278707668354,0.17154534838458543,0.16993966523939277,0.16937524328532502,0.17065978980147917
Percentage of cicuits per modulation,3,4QAM,all, ,0.04270434926474166,0.04357981197812251,0.044360097323600974,0.042686131386861316,0.045722627737226275
Percentage of cicuits per modulation,3,8QAM,all, ,0.18764415637499635,0.18648422445841525,0.18690024330900243,0.18782481751824817,0.18690024330900243
Percentage of cicuits per modulation,3,16QAM,all, ,0.41512169960974377,0.4139790178484536,0.4127883211678832,0.41366423357664234,0.41226277372262776
Percentage of cicuits per modulation,3,32QAM,all, ,0.19818399462789407,0.1983183136422913,0.19828710462287105,0.1993771289537713,0.19819951338199512
Percentage of cicuits per modulation,3,64QAM,all, ,0.15634580012262417,0.15763863207271736,0.15766423357664233,0.15644768856447688,0.15691484184914842
Percentage of cicuits per modulation,4,4QAM,all, ,0.049335659904662564,0.051510392789910556,0.050849605662087995,0.05081736959151028,0.050225282334354096
Percentage of cicuits per modulation,4,8QAM,all, ,0.19285846582767124,0.19233732918467075,0.19266502237343655,0.1939253248019976,0.192796816789873
Percentage of cicuits per modulation,4,16QAM,all, ,0.41714514100776934,0.41645289349706893,0.41602893436150407,0.4159416331785728,0.41734771499346585
Percentage of cicuits per modulation,4,32QAM,all, ,0.1956172075295127,0.19404426323849283,0.1949754818331595,0.19338886504623307,0.19471805574518716
Percentage of cicuits per modulation,4,64QAM,all, ,0.14504352573038418,0.14565512128985691,0.14548095576981196,0.14592680738168623,0.1449121301371199


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.008660957571039315,0.008300895289996108,0.00807707279096925,0.008836123005060335,0.008894511483067342
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.007687816270922538,0.007356948228882834,0.006987154534838459,0.007318022576878163,0.008242506811989101
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.005050603347606072,0.004641884001557026,0.004680809653561697,0.005099260412611911,0.005118723238614247
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.0071039314908524715,0.006597898014791748,0.007454262358894512,0.0072888283378746595,0.007415336706889841
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.0026080186843129623,0.0026664071623199686,0.00279291553133515,0.0028707668353444922,0.0027539898793304787
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.038721292331646555,0.038322304398598676,0.039509536784741145,0.038769949396652396,0.039645776566757496
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.024591280653950953,0.024163098481899573,0.024396652393927597,0.02413390424289607,0.024766446087971974
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.03390424289606851,0.034634098871156094,0.033962631374075514,0.032999221486959905,0.03474114441416894
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.038857532113662906,0.0385266640716232,0.039198131568703776,0.03890618917866874,0.03844881276761386
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.01951148306734138,0.019063838069287662,0.018771895679252627,0.0182366679641884,0.019813156870377577
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.07909692487349163,0.07971973530556636,0.08024523160762943,0.08069287660568314,0.07888283378746594
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.11327364733359284,0.11110354223433243,0.11149279875437913,0.11215453483845854,0.11155118723238615
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.062485402880498246,0.0635850525496302,0.06289412222654729,0.061414947450369795,0.06282600233553912
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.09474503697936941,0.09450175165434022,0.09317827948618139,0.09630206305955624,0.09387894122226548
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.03196769170883612,0.03211366290385364,0.03207473725184897,0.032298559750875824,0.0326391592059167
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.06780848579213702,0.06814908524717789,0.06852861035422343,0.06847022187621643,0.0679349941611522
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.06992020241339042,0.07161346827559362,0.07048462436745816,0.07101985208252239,0.07018295056442195
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.02190541066562865,0.021837290774620474,0.021146360451537564,0.02186648501362398,0.02106850914752822
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.04051187232386143,0.04023939275982873,0.04042428960685091,0.0397041650447645,0.040472946671856753
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.01042234332425068,0.0099941611521993,0.01016932658622032,0.009877384196185286,0.010072012456208642
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.13415725963409886,0.13322304398598678,0.13636629038536396,0.13432269365511873,0.1330284157259634
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.05037952510704554,0.05096340988711561,0.05058388478007007,0.05058388478007007,0.050369793694044374
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.011794472557415336,0.012368625924484235,0.011629038536395485,0.011687427014402492,0.011161930712339431
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.019122226547294667,0.020416504476449982,0.019209809264305176,0.01928766056831452,0.019599065784351888
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.005712339431685481,0.005897236278707668,0.0057415336706889844,0.005858310626702997,0.0064908524717789025
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.01112300506033476,0.010792137018295057,0.010694822888283379,0.010597508758271701,0.01047100038925652
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.008806928766056831,0.009274036590112885,0.00906967691708836,0.008875048657065007,0.008836123005060335
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.005936161930712339,0.005770727909692487,0.005877773452705333,0.005965356169715843,0.005965356169715843
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.008894511483067342,0.008865317244063838,0.008719346049046322,0.008729077462047489,0.008485792137018295
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.002997275204359673,0.0026664071623199686,0.0030751265083690154,0.003084857921370183,0.002909692487349163
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.04544569871545348,0.045484624367458155,0.047061113273647336,0.046136629038536395,0.04632152588555858
Percentage of cicuits per modulation and bandwidth,1,8QAM,200.0, ,0.027520435967302453,0.028250291942390034,0.027812378357337485,0.02897041650447645,0.027296613468275593
Percentage of cicuits per modulation and bandwidth,1,8QAM,400.0, ,0.035422343324250684,0.035840794083300896,0.03603542234332425,0.03540288049824834,0.034887115609186455
Percentage of cicuits per modulation and bandwidth,1,8QAM,300.0, ,0.04084274036590113,0.04003503308680421,0.041037368625924484,0.040725963409887114,0.04122226547294667
Percentage of cicuits per modulation and bandwidth,1,8QAM,500.0, ,0.01950175165434021,0.019871545348384586,0.01976449980537174,0.01942390035033087,0.019161152199299338
Percentage of cicuits per modulation and bandwidth,1,16QAM,100.0, ,0.09156286492798754,0.09038536395484624,0.0897625535227715,0.08978201634877384,0.08961658232775399
Percentage of cicuits per modulation and bandwidth,1,16QAM,200.0, ,0.1138283378746594,0.11664071623199689,0.11510315297781237,0.11666017905799922,0.11668937329700273
Percentage of cicuits per modulation and bandwidth,1,16QAM,400.0, ,0.06278707668353445,0.06139548462436746,0.06385753211366291,0.061502530167380304,0.06301089918256131
Percentage of cicuits per modulation and bandwidth,1,16QAM,300.0, ,0.09543596730245231,0.09484235110938108,0.09457960295834955,0.09601985208252238,0.0967983651226158
Percentage of cicuits per modulation and bandwidth,1,16QAM,500.0, ,0.032405605293888674,0.032493188010899184,0.03162709225379525,0.03177306344881277,0.03207473725184897
Percentage of cicuits per modulation and bandwidth,1,32QAM,100.0, ,0.07030945893343714,0.07109770338653172,0.06987154534838459,0.0711950175165434,0.07018295056442195
Percentage of cicuits per modulation and bandwidth,1,32QAM,200.0, ,0.06806150253016738,0.06849941611521992,0.06852861035422343,0.06811015959517322,0.06874270144024912
Percentage of cicuits per modulation and bandwidth,1,32QAM,400.0, ,0.02076683534449202,0.020883612300506033,0.020192681977423122,0.020873880887504866,0.020134293499416114
Percentage of cicuits per modulation and bandwidth,1,32QAM,300.0, ,0.03712534059945504,0.03607434799532892,0.03657065005838848,0.036376021798365125,0.03757298559750876
Percentage of cicuits per modulation and bandwidth,1,32QAM,500.0, ,0.010110938108213313,0.010286103542234332,0.009906578435188789,0.010344492020241338,0.010354223433242507
Percentage of cicuits per modulation and bandwidth,1,64QAM,100.0, ,0.11310821331257298,0.11173608407940833,0.1122615803814714,0.11278707668353445,0.1132541845075905
Percentage of cicuits per modulation and bandwidth,1,64QAM,200.0, ,0.043596730245231606,0.045036979369404435,0.04462826002335539,0.04288633709614636,0.04240949785908914
Percentage of cicuits per modulation and bandwidth,1,64QAM,400.0, ,0.010704554301284546,0.010276372129233165,0.010616971584274036,0.011268976255352278,0.010869988322304399
Percentage of cicuits per modulation and bandwidth,1,64QAM,300.0, ,0.0182366679641884,0.017769560140132347,0.01762358894511483,0.017545737641105487,0.01737057220708447
Percentage of cicuits per modulation and bandwidth,1,64QAM,500.0, ,0.005469054106656286,0.005731802257687817,0.005722070844686649,0.004963020630595562,0.005362008563643441
Percentage of cicuits per modulation and bandwidth,2,4QAM,100.0, ,0.012300506033476061,0.012105877773452706,0.012378357337485402,0.01178474114441417,0.011998832230439859
Percentage of cicuits per modulation and bandwidth,2,4QAM,200.0, ,0.009877384196185286,0.010441806150253016,0.009916309848189957,0.009711950175165435,0.010208252238224991
Percentage of cicuits per modulation and bandwidth,2,4QAM,400.0, ,0.006208641494745037,0.006247567146749708,0.0064421954067730635,0.006481121058777735,0.005994550408719346
Percentage of cicuits per modulation and bandwidth,2,4QAM,300.0, ,0.009614636045153757,0.009984429739198131,0.009410276372129232,0.00907940833008953,0.00964383028415726
Percentage of cicuits per modulation and bandwidth,2,4QAM,500.0, ,0.0034935772674192294,0.0034838458544180616,0.0032210977033865318,0.003337874659400545,0.0031043207473725183
Percentage of cicuits per modulation and bandwidth,2,8QAM,100.0, ,0.047936940443752435,0.04864733359283768,0.049289606850914755,0.048754379135850526,0.04756714674970806
Percentage of cicuits per modulation and bandwidth,2,8QAM,200.0, ,0.030079797586609575,0.030955624756714675,0.02997275204359673,0.030430128454651616,0.030994550408719346
Percentage of cicuits per modulation and bandwidth,2,8QAM,400.0, ,0.03715453483845854,0.03501362397820163,0.03670688984040483,0.036969637991436356,0.035899182561307905
Percentage of cicuits per modulation and bandwidth,2,8QAM,300.0, ,0.0420883612300506,0.041961852861035424,0.042166212534059944,0.04226352666407162,0.04278902296613468
Percentage of cicuits per modulation and bandwidth,2,8QAM,500.0, ,0.02046516154145582,0.019696379914363564,0.0199883223043986,0.020192681977423122,0.020212144803425456
