Metrics,LoadPoint,Link,Core,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4
Utilization,0,all,all, - , - , ,0.03062245560729837,0.030364046431853507,0.030700523322091174,0.03045273287416757,0.030900339732599723
Utilization,1,all,all, - , - , ,0.04700103397273479,0.04701100366997134,0.04697256287107069,0.04698815298468178,0.04720593123762545
Utilization,2,all,all, - , - , ,0.06386228168375174,0.0636612322773529,0.06340066030748892,0.06376079765539157,0.06370351194288366
Utilization,3,all,all, - , - , ,0.07981967849318997,0.08031354148952252,0.08077474489593856,0.08013191050551288,0.08063067492319952
Utilization,4,all,all, - , - , ,0.09638113503354014,0.0970528850164044,0.09611987468138354,0.09649709565009096,0.09725102313199036


Utilization Per Link,0,<13-21>,all, - , - , ,0.048819883709615715,0.04917425050742298,0.04966240685647574,0.04905732149808272,0.04906318641216836
Utilization Per Link,0,<16-11>,all, - , - , ,0.04059990685647326,0.03961081299004606,0.03969972508758089,0.04053290347133638,0.041371486264809
Utilization Per Link,0,<16-18>,all, - , - , ,0.030570947214038132,0.03015902171495546,0.03059705259828878,0.030518449716397708,0.03013109169076457
Utilization Per Link,0,<12-11>,all, - , - , ,0.023090766279258962,0.023545240643945902,0.022934112251850856,0.022870323708502997,0.023386705499638442
Utilization Per Link,0,<16-17>,all, - , - , ,0.015539997845188485,0.015727375333648836,0.015849639242618643,0.01618029440999926,0.016066910415390896
Utilization Per Link,0,<12-13>,all, - , - , ,0.035110594902132156,0.03452239180754018,0.034822371302064385,0.03432056490852643,0.03472003941222402
Utilization Per Link,0,<23-21>,all, - , - , ,0.02523479640493848,0.024781699208974765,0.02625823260162609,0.02590566437746923,0.025870327184004314
Utilization Per Link,0,<1-2>,all, - , - , ,0.015701135273591887,0.016268785102598153,0.01562551698131523,0.015341285867208454,0.016194396270091133
Utilization Per Link,0,<23-24>,all, - , - , ,0.024501147785408666,0.023168739225938706,0.02374096803230694,0.024056005150697043,0.023812137678640606
Utilization Per Link,0,<1-3>,all, - , - , ,0.02271832685730945,0.02488932689901281,0.024443228500526607,0.024102303216927835,0.023575290725964593
Utilization Per Link,0,<3-1>,all, - , - , ,0.025453097195964308,0.025074410554411848,0.024186084600733185,0.02512684723071764,0.025983068210258083
Utilization Per Link,0,<3-2>,all, - , - , ,0.030853722960572556,0.029329158093754543,0.02974975932130709,0.030143768593951254,0.03207637073903221
Utilization Per Link,0,<12-9>,all, - , - , ,0.055375523932327204,0.053952048462433656,0.05596151139270716,0.054711889353827654,0.055535171238112246
Utilization Per Link,0,<12-18>,all, - , - , ,0.05736246993688199,0.05854436742340077,0.05859200790329525,0.0586522818425746,0.05788203181476835
Utilization Per Link,0,<3-5>,all, - , - , ,0.0242336121267319,0.02444593070538991,0.02474942045960008,0.023649996698271114,0.024991393781632128
Utilization Per Link,0,<5-3>,all, - , - , ,0.024072435598901112,0.024149157363899092,0.024517087318579822,0.024670387484012176,0.024388358970970185
Utilization Per Link,0,<5-4>,all, - , - , ,0.030423603194685657,0.0286739603027859,0.03028804113607486,0.028789603375410297,0.030091788077630924
Utilization Per Link,0,<10-9>,all, - , - , ,0.03355309528443491,0.032849705277204724,0.03346594266112716,0.03363600779208101,0.033839624575989664
Utilization Per Link,0,<10-8>,all, - , - , ,0.05301274554439991,0.05037466808930751,0.05185947318300245,0.05149206889840427,0.05208094537201974
Utilization Per Link,0,<5-6>,all, - , - , ,0.03230935119279188,0.030672214730577182,0.031786613572542,0.03129714087610727,0.03191838298670917
