Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.002259439104152215,0.002031513229610544,0.0021306114359330094,0.0026459221088098307,0.0022495292835199685
Percentage of cicuits per modulation,0,8QAM,all, ,0.17666237241105937,0.17932811416113367,0.17750470716480032,0.173431770884947,0.17603805371122783
Percentage of cicuits per modulation,0,16QAM,all, ,0.34984639778020016,0.3469130908730552,0.35115449410365673,0.3487067684074918,0.3482608264790407
Percentage of cicuits per modulation,0,32QAM,all, ,0.1773560598553166,0.1758200376573184,0.1738182538896046,0.1774155187791101,0.1759686849668021
Percentage of cicuits per modulation,0,64QAM,all, ,0.29387573084927165,0.2959072440788822,0.29539193340600534,0.29780001981964127,0.29748290555940937
Percentage of cicuits per modulation,1,4QAM,all, ,0.003904469329105143,0.0037855514815181845,0.0032008720642156376,0.004053116638588841,0.0036468139926667327
Percentage of cicuits per modulation,1,8QAM,all, ,0.2005351303141413,0.19737389753245466,0.19717570111980973,0.19672975919135863,0.1961946288772173
Percentage of cicuits per modulation,1,16QAM,all, ,0.36154989594688336,0.36492914478247945,0.3643246457239124,0.3634823109701714,0.36305618868298484
Percentage of cicuits per modulation,1,32QAM,all, ,0.1723714200772966,0.17332276285799228,0.17474977702903577,0.17385789317213357,0.1753939153701318
Percentage of cicuits per modulation,1,64QAM,all, ,0.2616390843325736,0.2605886433455554,0.26054900406302645,0.2618769200277475,0.2617084530769993
Percentage of cicuits per modulation,2,4QAM,all, ,0.006163908433257358,0.0067882271330888914,0.006471112872857001,0.006263006639579824,0.006054900406302646
Percentage of cicuits per modulation,2,8QAM,all, ,0.21082152413041325,0.2115152115746705,0.2115152115746705,0.21005846794173025,0.21062332771776832
Percentage of cicuits per modulation,2,16QAM,all, ,0.3725002477455158,0.3710435041125756,0.36935883460509367,0.37303537805965714,0.36911108908928747
Percentage of cicuits per modulation,2,32QAM,all, ,0.17098404518878207,0.17236151025666435,0.17221286294718066,0.1720939450995937,0.17109305321573678
Percentage of cicuits per modulation,2,64QAM,all, ,0.23953027450203151,0.2382915469230007,0.2404419780001982,0.2385492022594391,0.24311762957090477
Percentage of cicuits per modulation,3,4QAM,all, ,0.01201189296333003,0.011338632624338414,0.010574407357488306,0.010495852205714739,0.01133784600747267
Percentage of cicuits per modulation,3,8QAM,all, ,0.21588701684836473,0.22098439946874937,0.21658209783556648,0.2183117436593754,0.21667773362008305
Percentage of cicuits per modulation,3,16QAM,all, ,0.37562933597621406,0.3772870537395683,0.3786965828906684,0.3732420190887737,0.3760616842251316
Percentage of cicuits per modulation,3,32QAM,all, ,0.17374628344895937,0.16821614764009754,0.16964639657496233,0.1710060755027404,0.17299134795492613
Percentage of cicuits per modulation,3,64QAM,all, ,0.22272547076313182,0.2221737665272464,0.22450051534131452,0.22694430954339573,0.2229313881923866
Percentage of cicuits per modulation,4,4QAM,all, ,0.014968662157195785,0.015165359022743073,0.016319192681691314,0.01573762016960442,0.016199445101880487
Percentage of cicuits per modulation,4,8QAM,all, ,0.2242418824557744,0.22555367961068626,0.22568758132281808,0.225804527424021,0.22634473294284946
Percentage of cicuits per modulation,4,16QAM,all, ,0.37531908976230915,0.37363193961664515,0.3722126759304324,0.37298060385536896,0.37187123976968744
Percentage of cicuits per modulation,4,32QAM,all, ,0.1720651191433992,0.17288707915383852,0.17090952432980067,0.1744658852535616,0.17163058502968406
Percentage of cicuits per modulation,4,64QAM,all, ,0.21340524648132145,0.212761942596087,0.2148710257352576,0.211011363297444,0.21395399715589852


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,5.945892379347934E-5,7.927856505797245E-5,1.585571301159449E-4,1.1891784758695868E-4,5.945892379347934E-5
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,2.3783569517391736E-4,2.279258745416708E-4,2.873847983351501E-4,3.0720443959964325E-4,3.369339014963829E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,6.738678029927658E-4,6.540481617282728E-4,7.927856505797245E-4,8.9188385690219E-4,7.82875829947478E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,6.738678029927658E-4,6.837776236250124E-4,5.054008522445744E-4,7.135070855217521E-4,5.549499554058072E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,6.144088791992865E-4,3.864830046576157E-4,3.864830046576157E-4,6.144088791992865E-4,5.153106728768209E-4
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.02406104449509464,0.023843028441185216,0.024615994450500445,0.02338717669210187,0.02284213655732831
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.03263303934198791,0.03357447230205133,0.03226637597859479,0.03313844019423248,0.032504211673768706
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.04477256961648994,0.04508968387672183,0.04396987414527797,0.04314735903280151,0.04473293033396095
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.05150133782578535,0.052621147557229214,0.05159052621147557,0.04988603706272916,0.05239322168268754
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.023694381131701515,0.02419978198394609,0.02506193637895154,0.023872757903081954,0.02356555346348231
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.08290555940937469,0.08126052918442177,0.08210286393816271,0.08031909622435834,0.08224160142701417
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.111495391933406,0.10975126350213062,0.11215934991576652,0.112942225745714,0.11044495094638787
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.05085719948468933,0.050579724506986425,0.049509463878703794,0.04988603706272916,0.050133782578535326
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.07837677138043801,0.07896145079774056,0.08124070954315726,0.07967495788326232,0.07967495788326232
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.026211475572292142,0.02636012288177584,0.026142106827866416,0.025884451491428005,0.025765533643841047
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.04768605688237043,0.048736497869388565,0.047666237241105934,0.04860767020116936,0.04887523535824002
