Metrics,LoadPoint,Link,Core,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4
Utilization,0,all,all, - , - , ,0.03675523370586426,0.03677266730190338,0.03690795177478715,0.03686692046202592,0.03669093055545688
Utilization,1,all,all, - , - , ,0.057116234726773275,0.05702597481034949,0.05701524383615174,0.05614622496747566,0.056408684520279855
Utilization,2,all,all, - , - , ,0.07640591457338797,0.07606680382651528,0.076304242776851,0.07542463912744157,0.0747223336494157
Utilization,3,all,all, - , - , ,0.09476967249794381,0.09414857824783301,0.09451517892302037,0.09447232857760622,0.09534054358428369
Utilization,4,all,all, - , - , ,0.11235199058316085,0.1119861524478389,0.1117731634200884,0.11129210553669003,0.11175490292673079


Utilization Per Link,0,<13-21>,all, - , - , ,0.06868462141328173,0.06810793961658576,0.06964943453539298,0.06971670727215132,0.0683645144024917
Utilization Per Link,0,<16-11>,all, - , - , ,0.026796210309740557,0.025053196942947716,0.026381660804648644,0.026703340481291034,0.02612868316604704
Utilization Per Link,0,<16-18>,all, - , - , ,0.029626791622643145,0.028285199042153115,0.026347149043540637,0.028035110416784248,0.028724142245453294
Utilization Per Link,0,<12-11>,all, - , - , ,0.007149630032530162,0.006936286180004988,0.006669467344158747,0.007342190367290213,0.006367185327809101
Utilization Per Link,0,<16-17>,all, - , - , ,0.008204219783962439,0.008049759668854534,0.008155897236277871,0.008157187517377991,0.00828070695240024
Utilization Per Link,0,<12-13>,all, - , - , ,0.059440365553577804,0.05999763665684332,0.060001755129842044,0.06187529976227224,0.05985827760940861
Utilization Per Link,0,<23-21>,all, - , - , ,0.012681651594565314,0.010811530334202337,0.012269508876441413,0.011749547315520041,0.011427446233942507
Utilization Per Link,0,<1-2>,all, - , - , ,0.0039648035644768275,0.005012468372907617,0.003967366749150497,0.0038268477520427575,0.004446986389922977
Utilization Per Link,0,<23-24>,all, - , - , ,0.02593242576322166,0.02600102353611978,0.02464227065144978,0.026279063907579996,0.02439307262414389
Utilization Per Link,0,<1-3>,all, - , - , ,0.03605673587555073,0.03863869696379792,0.036755633793025426,0.036406193523054076,0.035099733950118006
Utilization Per Link,0,<3-1>,all, - , - , ,0.035298246086582045,0.034900739587390504,0.036888358970971834,0.03615639162681366,0.03761886660318355
Utilization Per Link,0,<3-2>,all, - , - , ,0.036841596055995615,0.03932447919563006,0.03829599482845045,0.03534924477284197,0.03758952031084931
Utilization Per Link,0,<12-9>,all, - , - , ,0.12507534459628242,0.12778784563893544,0.1287936827489837,0.1265281098815531,0.12695574031725246
Utilization Per Link,0,<12-18>,all, - , - , ,0.12102324938831556,0.12091921450120206,0.12063995770310802,0.11899025294722804,0.11893101731496517
Utilization Per Link,0,<3-5>,all, - , - , ,0.011537967281600817,0.013196564984985554,0.011644065749597098,0.011362832258244202,0.011286731739698793
Utilization Per Link,0,<5-3>,all, - , - , ,0.011220949125563288,0.011856267029973494,0.010909891459991713,0.011496773862814422,0.012173832577991706
Utilization Per Link,0,<5-4>,all, - , - , ,0.03757405431518291,0.03698028606878541,0.03956586602624694,0.036433080895845245,0.03746418926903078
Utilization Per Link,0,<10-9>,all, - , - , ,0.04003766143719045,0.038821712693929415,0.03863202399488572,0.036886508264751115,0.040197538995163325
Utilization Per Link,0,<10-8>,all, - , - , ,0.0730858180295276,0.07285899356336951,0.07390292654868764,0.0718665805900033,0.07404108220263961
Utilization Per Link,0,<5-6>,all, - , - , ,0.04975594571956829,0.05171689494939871,0.05369808030500902,0.053742605863872556,0.05304040621697982
Utilization Per Link,0,<7-4>,all, - , - , ,0.0033083676249776395,0.003103325884167721,0.0032921370182944455,0.003586633904241709,0.00337587930267435
Utilization Per Link,0,<3-9>,all, - , - , ,0.07295607744119391,0.07489894535811394,0.07526426868431571,0.07614927553105773,0.0737397516056807
Utilization Per Link,0,<9-3>,all, - , - , ,0.07327733136851304,0.07374374843602129,0.07410727753294627,0.07028950084802324,0.07421847630401414
Utilization Per Link,0,<5-8>,all, - , - , ,0.00876043085831044,0.009143535735138021,0.009263319002669145,0.008873906084914932,0.008481678008398273
Utilization Per Link,0,<7-6>,all, - , - , ,0.015995076078797278,0.016431716760275147,0.016392864962742247,0.016820269490629095,0.01671211613051322
Utilization Per Link,0,<5-9>,all, - , - , ,0.11198397879247249,0.11291764270422451,0.1109231505101992,0.1139282586331595,0.11096165041288814
Utilization Per Link,0,<9-5>,all, - , - , ,0.08808085674664731,0.0877727228493508,0.08958072380860206,0.08892933603959718,0.08745992308708976
Utilization Per Link,0,<19-18>,all, - , - , ,0.035706704769783215,0.03538000733331875,0.03665176399237999,0.0344847564366339,0.03462497567146852
Utilization Per Link,0,<7-8>,all, - , - , ,0.020330946240895126,0.020041766877050376,0.0193274464077199,0.0204470194072187,0.02061281401184459
Utilization Per Link,0,<15-11>,all, - , - , ,0.02258287775259879,0.023568287584109126,0.024853359770338288,0.02353210323638793,0.022369268892841965
Utilization Per Link,0,<21-18>,all, - , - , ,0.021882411513648434,0.021371203880052897,0.02265728830701197,0.02103202069315307,0.02332008442000515
Utilization Per Link,0,<15-17>,all, - , - , ,0.018029106482511707,0.017940559312960767,0.018428550575540624,0.018832469380804268,0.017964488162430743
Utilization Per Link,0,<19-17>,all, - , - , ,0.04734898063448388,0.045825879824001846,0.0473689647861863,0.04701554071901332,0.0470454561252281
Utilization Per Link,0,<11-12>,all, - , - , ,0.019662802195129427,0.01871621809486875,0.017957419854863124,0.018114994891006306,0.01813908882694715
Utilization Per Link,0,<21-13>,all, - , - , ,0.052355492861315,0.05045285391063792,0.052035794222319735,0.04961950175165345,0.052787567598565226
Utilization Per Link,0,<9-10>,all, - , - , ,0.062067807964466384,0.06234583095841041,0.06245241165267462,0.06455810261774894,0.062386359686928454
Utilization Per Link,0,<9-11>,all, - , - , ,0.026269037076686503,0.026743838799143875,0.02813076933771013,0.028301820643106025,0.024374995655619697
Utilization Per Link,0,<9-12>,all, - , - , ,0.12644409824555933,0.1290515825710365,0.12895965981760957,0.1301338634057139,0.1291189769504557
Utilization Per Link,0,<22-20>,all, - , - , ,0.039140442536007576,0.03930368698909834,0.03916451475004454,0.0398758115303344,0.04008426795445574
Utilization Per Link,0,<22-21>,all, - , - , ,0.010045737641105845,0.009719326933771175,0.009733263707390256,0.009037137504863884,0.009448506923205754
Utilization Per Link,0,<22-24>,all, - , - , ,0.01562569510093163,0.016011219797867293,0.016446148793304447,0.016117531140519805,0.017062360110942136
Utilization Per Link,0,<11-15>,all, - , - , ,0.022056469130569644,0.023138771687145326,0.0238712299463373,0.02433644362036686,0.02030374607268023
Utilization Per Link,0,<11-16>,all, - , - , ,0.012357252335539122,0.012598308993218836,0.012236478549184101,0.012433756881498234,0.012623532468169003
Utilization Per Link,0,<20-19>,all, - , - , ,0.04778938354974398,0.046946117513763104,0.04812904027414483,0.048588671418841135,0.04812018208168527
Utilization Per Link,0,<20-18>,all, - , - , ,0.048987728861982285,0.05110673100983921,0.049477592552690235,0.050004657176221885,0.04968127015792461
Utilization Per Link,0,<18-19>,all, - , - , ,0.035947665851084186,0.03455958405160316,0.034745636503922525,0.03628115355474588,0.036265783135464115
Utilization Per Link,0,<14-10>,all, - , - , ,0.05861890830924024,0.05800883125729654,0.057860375076462855,0.05688151657120521,0.05835958787465986
Utilization Per Link,0,<14-13>,all, - , - , ,0.02564274245120187,0.025649458863927287,0.026665857163710137,0.02479460201996747,0.02635366995912702
Utilization Per Link,0,<18-16>,all, - , - , ,0.040733739851525154,0.04030806873158096,0.040110017099482406,0.04045696803925931,0.04064947624145033
Utilization Per Link,0,<18-12>,all, - , - , ,0.1255878468553633,0.12631768110854708,0.12595868754518758,0.1243639174845714,0.12526361702719324
Utilization Per Link,0,<8-10>,all, - , - , ,0.049906300394820566,0.049591128600624326,0.048743665892786996,0.05041237731468715,0.04860794743646825
Utilization Per Link,0,<19-20>,all, - , - , ,0.047955538737975284,0.0476149349385517,0.04667657040677117,0.04676092090446719,0.047247274335482065
Utilization Per Link,0,<11-3>,all, - , - , ,0.02235961567869556,0.02262082157454304,0.023002840356168158,0.02246578800117043,0.02184915962298024
Utilization Per Link,0,<2-1>,all, - , - , ,0.003936134995550136,0.00432367982956056,0.004184029708612703,0.004523777665015893,0.004304729640493239
Utilization Per Link,0,<2-3>,all, - , - , ,0.03572363916615679,0.03602565183089667,0.03544884404715701,0.03766345298337628,0.03636248470777849
Utilization Per Link,0,<10-14>,all, - , - , ,0.05816043711421504,0.05968455016543888,0.05743648949702709,0.05999859242062349,0.057189189964135814
Utilization Per Link,0,<21-23>,all, - , - , ,0.009790057797641836,0.010253012393648427,0.009724470680644347,0.010503626689093744,0.010111424678860809
Utilization Per Link,0,<2-4>,all, - , - , ,0.00560043252655325,0.006186168012847396,0.0058834037702265585,0.00596569503141858,0.006229950682589044
Utilization Per Link,0,<4-2>,all, - , - , ,0.005748593289494874,0.005857593803869714,0.006190560181839004,0.006139274766446531,0.006327608018685047
Utilization Per Link,0,<10-13>,all, - , - , ,0.04631808079157912,0.04454539964828222,0.04531117930823393,0.04619647722849325,0.04568918822638039
Utilization Per Link,0,<21-22>,all, - , - , ,0.011506383633153292,0.011801436599844516,0.010827109283767894,0.012226191055442454,0.010720459079407215
Utilization Per Link,0,<11-9>,all, - , - , ,0.026839940846910174,0.02570479758660907,0.027849392481786507,0.02693590387449467,0.026273724663572195
Utilization Per Link,0,<21-20>,all, - , - , ,0.046609319391925585,0.04367270912111649,0.04482654190763481,0.04555464275287968,0.04586060011538735
Utilization Per Link,0,<4-5>,all, - , - , ,0.03716831521436869,0.037226360486289044,0.038169686300950294,0.0367232768448,0.03725543742701179
Utilization Per Link,0,<4-6>,all, - , - , ,0.004048519782571538,0.004096651177500107,0.00407639332981016,0.003956019226490652,0.003602004323526967
Utilization Per Link,0,<6-4>,all, - , - , ,0.003989740310292625,0.0040629561599830845,0.004142766779735184,0.004083383438524623,0.003870152539898056
Utilization Per Link,0,<4-7>,all, - , - , ,0.0030450199493961606,0.003611005880553249,0.0032829008647052636,0.0029783337040530833,0.0037283215397865437
Utilization Per Link,0,<6-5>,all, - , - , ,0.054126922822942146,0.052856373901740424,0.052196327781794165,0.0544325282906071,0.0521375917533214
Utilization Per Link,0,<6-7>,all, - , - , ,0.015512102576044014,0.01585452667102427,0.016823340967858147,0.016799881311518303,0.01638305969526975
Utilization Per Link,0,<8-5>,all, - , - , ,0.030576594909080324,0.03135657200550666,0.032200489698608906,0.029959201919871253,0.030635604633543968
Utilization Per Link,0,<13-10>,all, - , - , ,0.04873705808958415,0.04597644302952871,0.04684324692070615,0.04524537497219832,0.04841633852110091
Utilization Per Link,0,<17-16>,all, - , - , ,0.009989799393872647,0.008735463701829952,0.009542449813712009,0.010120460990936398,0.008868440853861346
Utilization Per Link,0,<14-23>,all, - , - , ,0.050351647215426266,0.05174308287688401,0.04921196842156613,0.05138766039454003,0.04930490341572422
Utilization Per Link,0,<8-7>,all, - , - , ,0.02180271819218172,0.020708168826114374,0.02094192692403873,0.02109042220430349,0.021530916351557433
Utilization Per Link,0,<17-19>,all, - , - , ,0.04767823691124895,0.04755518666935602,0.04653963117944597,0.046334480829116266,0.04602430941722556
Utilization Per Link,0,<13-14>,all, - , - , ,0.02411308597008456,0.02499569037424166,0.024485985896399807,0.025315836484455505,0.023674390396482396
Utilization Per Link,0,<13-12>,all, - , - , ,0.041767715516041665,0.04006928418506334,0.04315243910915934,0.040909026928209934,0.04161862071122831
Utilization Per Link,0,<17-15>,all, - , - , ,0.018275915100374043,0.018282001577878574,0.01765203160624107,0.018285585692041115,0.01789800175860375
Utilization Per Link,0,<18-20>,all, - , - , ,0.05027043770505221,0.050394869460047356,0.049854736939052215,0.05004622855613457,0.048866381617363855
Utilization Per Link,0,<18-21>,all, - , - , ,0.0047047515361725405,0.00489262862842637,0.005280833808318253,0.004463773077350366,0.00489413178418423
Utilization Per Link,0,<3-11>,all, - , - , ,0.019173672704777645,0.020394773883670093,0.01878878228743953,0.019856796175555674,0.01969392968359292
Utilization Per Link,0,<24-22>,all, - , - , ,0.01385197130623281,0.013637528325365345,0.014207107059446363,0.014619701593172411,0.01390478159928892
Utilization Per Link,0,<24-23>,all, - , - , ,0.027249442181503488,0.026288256617360447,0.028271488176333476,0.027636304947727258,0.02776336070872737
Utilization Per Link,0,<23-14>,all, - , - , ,0.0507700675638113,0.04977911430239359,0.05006054329088408,0.04928018823333305,0.050880888373741925
Utilization Per Link,0,<20-22>,all, - , - , ,0.03886773706417162,0.03943641651142878,0.03852887101707217,0.040845368716287765,0.03947832240866469
Utilization Per Link,0,<20-21>,all, - , - , ,0.04485986765277968,0.0442399592670858,0.04386780222988317,0.044113194579604116,0.04391717177334414
Utilization Per Link,1,<13-21>,all, - , - , ,0.10852950095228084,0.10707121395902407,0.10821415538286237,0.10333847852833046,0.10560436419117643
Utilization Per Link,1,<16-11>,all, - , - , ,0.045997800005561564,0.04517214174498114,0.04409245016126229,0.047328827051933635,0.047105143573098925
Utilization Per Link,1,<16-18>,all, - , - , ,0.0449362331785592,0.044800692841846464,0.044454376181672084,0.04065152244480997,0.04378928623561052
Utilization Per Link,1,<12-11>,all, - , - , ,0.01149540103848199,0.011662551089917695,0.011139609283768784,0.01158062910109666,0.011952256123835903
Utilization Per Link,1,<16-17>,all, - , - , ,0.0139134442946133,0.014510179753102077,0.015525205228550538,0.013245682554357702,0.012990215585553288
Utilization Per Link,1,<12-13>,all, - , - , ,0.09346519108325042,0.0947097432297155,0.09036627040121117,0.08944260290969187,0.09068913609381188
Utilization Per Link,1,<23-21>,all, - , - , ,0.019085394886836658,0.018701134404716647,0.017887032197074024,0.019197949104711644,0.018543859130844303
Utilization Per Link,1,<1-2>,all, - , - , ,0.006554914711114441,0.00749470854418114,0.007063880644218793,0.0075171646485572945,0.007344488544737098
Utilization Per Link,1,<23-24>,all, - , - , ,0.03649149544014122,0.042451825161262356,0.039806970472113894,0.035408180642829114,0.03879114997497976
Utilization Per Link,1,<1-3>,all, - , - , ,0.05743469526775203,0.05555306574264711,0.05649147371823331,0.05472620408857969,0.055869106413002946
Utilization Per Link,1,<3-1>,all, - , - , ,0.05874149370238983,0.05623277453010974,0.05538960407051641,0.05876279854584663,0.054926592997548034
Utilization Per Link,1,<3-2>,all, - , - , ,0.05864558715174981,0.05492469015876172,0.057259642787635116,0.058419622872994376,0.05626563977089328
Utilization Per Link,1,<12-9>,all, - , - , ,0.19087720868319893,0.18849031029305827,0.19363652042902077,0.18931105505894608,0.1862384787021027
Utilization Per Link,1,<12-18>,all, - , - , ,0.17683031369903815,0.18141125907107009,0.17819168624534723,0.17840285356308502,0.17501831590946432
Utilization Per Link,1,<3-5>,all, - , - , ,0.01973312903158386,0.018615224274314102,0.019517017808488458,0.019830256353220225,0.019910931504754505
Utilization Per Link,1,<5-3>,all, - , - , ,0.018212122212640944,0.019805263130458103,0.01927086084774556,0.02004804016293192,0.02010859214257988
Utilization Per Link,1,<5-4>,all, - , - , ,0.05634306966996839,0.05631389280848619,0.057491211317630735,0.055670411812544285,0.05626327208335543
Utilization Per Link,1,<10-9>,all, - , - , ,0.06044030299449576,0.05781027567702744,0.06012032631512789,0.06194558749930756,0.059760051159429284
Utilization Per Link,1,<10-8>,all, - , - , ,0.1138110124840066,0.11438151222682513,0.11185308259883472,0.11057545668130961,0.1152527517308039
Utilization Per Link,1,<5-6>,all, - , - , ,0.07884424265278986,0.0812403858852801,0.0815399092198177,0.07862905678279476,0.07929809577100419
Utilization Per Link,1,<7-4>,all, - , - , ,0.006258206535337772,0.006748144080519902,0.005522828852249278,0.004861570650059002,0.006144739997498537
Utilization Per Link,1,<3-9>,all, - , - , ,0.1144404524411956,0.11293443373602892,0.1118926555635927,0.11033971320135463,0.11477198082912367
Utilization Per Link,1,<9-3>,all, - , - , ,0.11367561116749356,0.10637874572512901,0.11016797982817154,0.11067356148863242,0.10739374947867096
Utilization Per Link,1,<5-8>,all, - , - , ,0.014705802876326677,0.013702872157036928,0.01599395522855182,0.015785355439859955,0.015407407343047134
Utilization Per Link,1,<7-6>,all, - , - , ,0.024635363085970197,0.026614875854973873,0.02303693940110384,0.024494014312126857,0.023666492312184595
Utilization Per Link,1,<5-9>,all, - , - , ,0.16759192275343635,0.16788343504977496,0.16171013509286125,0.16599367718817737,0.16258014513708474
Utilization Per Link,1,<9-5>,all, - , - , ,0.1330925648529186,0.13343870339347758,0.13678637028720886,0.13237981270506305,0.13217896763610187
Utilization Per Link,1,<19-18>,all, - , - , ,0.053138293805253416,0.05175909626452456,0.05338835201996613,0.051701159602123445,0.05079075116082068
Utilization Per Link,1,<7-8>,all, - , - , ,0.03157306118973323,0.033270736598453546,0.03139389023661229,0.03145987703664646,0.03382686947394335
Utilization Per Link,1,<15-11>,all, - , - , ,0.03664691566340608,0.035114213771333676,0.03651972088222121,0.03477072964744424,0.03308067428265647
Utilization Per Link,1,<21-18>,all, - , - , ,0.03411833398209707,0.03379753187037898,0.03282639332981329,0.03371205183367918,0.03265394313379228
Utilization Per Link,1,<15-17>,all, - , - , ,0.029106443411832356,0.028525478055666208,0.02709451287327286,0.028125864531779274,0.028185130574708173
Utilization Per Link,1,<19-17>,all, - , - , ,0.07118432165100053,0.07302039165461428,0.07216101231024241,0.06966935352138086,0.07060554151837731
Utilization Per Link,1,<11-12>,all, - , - , ,0.030139402491241973,0.03241352944447818,0.03178413727548275,0.030089528999608598,0.02732894869460035
Utilization Per Link,1,<21-13>,all, - , - , ,0.08064411961992425,0.0791942607254081,0.08285649554440164,0.07851313566980055,0.07891683291164285
Utilization Per Link,1,<9-10>,all, - , - , ,0.09638100914752533,0.098474257805988,0.09862695410248612,0.09668443808040925,0.09574075602652948
Utilization Per Link,1,<9-11>,all, - , - , ,0.04084354407635183,0.043546348461048476,0.04105097522660101,0.04296787677946293,0.041662008042313736
Utilization Per Link,1,<9-12>,all, - , - , ,0.19073890097591428,0.1908959329644704,0.18513414144609064,0.18537358633848644,0.18917127026219185
Utilization Per Link,1,<22-20>,all, - , - , ,0.06291765139298253,0.06219829144191897,0.059659617764000354,0.05952124054662685,0.06297728670828112
Utilization Per Link,1,<22-21>,all, - , - , ,0.013342088708781749,0.014572851790580115,0.016196807401436825,0.013450763394597737,0.015103483150756245
Utilization Per Link,1,<22-24>,all, - , - , ,0.026458578066783006,0.027117429482015017,0.02602856691041792,0.024257475810489225,0.02386165927542652
Utilization Per Link,1,<11-15>,all, - , - , ,0.033623973857256934,0.03633771739281982,0.03418831326808802,0.03522260607240345,0.038343235625310106
Utilization Per Link,1,<11-16>,all, - , - , ,0.02365319850692281,0.023740581382420307,0.02328096761524468,0.02259714904353901,0.021135569009626372
Utilization Per Link,1,<20-19>,all, - , - , ,0.07469418165767347,0.07532823534727237,0.07766686766668608,0.07396431264944726,0.07472017408802645
Utilization Per Link,1,<20-18>,all, - , - , ,0.07894705242450738,0.07714317862703282,0.07740043548073382,0.07609387164265606,0.07632706062670441
Utilization Per Link,1,<18-19>,all, - , - , ,0.049779965801035546,0.052490781223933844,0.051138119161149714,0.05173903825835595,0.04982315763499016
Utilization Per Link,1,<14-10>,all, - , - , ,0.09265315245648562,0.08632776441639362,0.08697491206973326,0.08998094120141266,0.08868793183145456
Utilization Per Link,1,<14-13>,all, - , - , ,0.04065540197686638,0.039234185584999345,0.04247511104237327,0.04041991915976366,0.04155999763665537
Utilization Per Link,1,<18-16>,all, - , - , ,0.0653404908455225,0.0638173552799863,0.06477623832231086,0.06454567334427354,0.06374806240616135
Utilization Per Link,1,<18-12>,all, - , - , ,0.18744590377023138,0.18590095072429696,0.18901133622726263,0.1840224491533547,0.18347622146611717
Utilization Per Link,1,<8-10>,all, - , - , ,0.07679738763693049,0.07925039012539054,0.08057182912333559,0.07807641244508648,0.08079399206889745
Utilization Per Link,1,<19-20>,all, - , - , ,0.077674561565088,0.07553128301729412,0.07695337697408705,0.07366874270144051,0.07454427879802523
Utilization Per Link,1,<11-3>,all, - , - , ,0.04029140803119814,0.04010543812211659,0.03894236483762764,0.04009888679586316,0.040063349760880745
Utilization Per Link,1,<2-1>,all, - , - , ,0.007427779013514426,0.007659338854751638,0.007502137435356809,0.006431651594561049,0.0069003494619918155
Utilization Per Link,1,<2-3>,all, - , - , ,0.059800023807208225,0.05610637911499882,0.05623117145359841,0.058649184299064724,0.0597863998290042
