Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Minimum Crosstalk per overlaps,0,9,all,all, ,-24.793327093648642,-25.521200244683094,-21.864863772720216,0.0,-27.455613776564924
Minimum Crosstalk per overlaps,0,12,all,all, ,-25.506129235552603,0.0,0.0,-20.328874338705518,0.0
Minimum Crosstalk per overlaps,0,14,all,all, ,-21.95817799329045,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,0,18,all,all, ,-22.60492607461568,-19.464439609507515,0.0,0.0,0.0
Minimum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,1,1,all,all, ,0.0,-32.36723259425367,-26.84303485275086,-33.82016801077492,0.0
Minimum Crosstalk per overlaps,1,2,all,all, ,-31.801626831593317,-27.38858227956537,-32.2438703238202,-29.798417965207253,-31.54737305909444
Minimum Crosstalk per overlaps,1,5,all,all, ,-24.886812607767368,-25.70331726061182,-20.08724456846138,-26.249448494443442,-24.131104537020647
Minimum Crosstalk per overlaps,1,7,all,all, ,-23.78841204885819,-20.84240128646277,-21.717693330546023,-24.186557776237436,-24.84317832529126
Minimum Crosstalk per overlaps,1,9,all,all, ,0.0,-23.529829574238228,-22.61342281439353,0.0,-21.759975781651768
Minimum Crosstalk per overlaps,1,12,all,all, ,0.0,-20.270756935786856,-20.556421415969854,-21.41520045395759,0.0
Minimum Crosstalk per overlaps,1,14,all,all, ,-19.639581936162177,0.0,-22.855053512402623,0.0,-21.957986001969118
Minimum Crosstalk per overlaps,1,18,all,all, ,0.0,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,2,1,all,all, ,-31.48036171101476,-31.011288345750636,-31.23249991005197,-35.24220284278844,-35.25206852932096
Minimum Crosstalk per overlaps,2,2,all,all, ,-34.62658335101895,-31.728316734895742,-29.705584465390604,-30.817911151377455,-32.901564867937495
Minimum Crosstalk per overlaps,2,5,all,all, ,-26.75301909062842,-25.993291997035882,-27.51725168187418,-29.204391910534287,-27.170726208507215
Minimum Crosstalk per overlaps,2,7,all,all, ,-24.835406878155265,-24.047635268168,-26.276254713065104,-28.02084916824675,-27.372101056146224
Minimum Crosstalk per overlaps,2,9,all,all, ,-23.23149595917335,-26.750701773654395,-26.870238845530423,-22.260253273545032,-27.02611296551805
Minimum Crosstalk per overlaps,2,12,all,all, ,0.0,0.0,0.0,-25.56551299969493,-25.56161478478041
Minimum Crosstalk per overlaps,2,14,all,all, ,-22.734649967076763,-22.52075496673242,0.0,0.0,0.0
Minimum Crosstalk per overlaps,2,18,all,all, ,0.0,0.0,0.0,0.0,-19.100528688362836
Minimum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,3,1,all,all, ,-33.84719133723389,-32.865298753175935,-32.74631406961045,-37.62170250498884,-34.27201060299296
Minimum Crosstalk per overlaps,3,2,all,all, ,-30.672563034502893,-33.71768621790643,-32.578163671689026,-33.39250723951066,-32.83339691458104
Minimum Crosstalk per overlaps,3,5,all,all, ,-30.073308094301723,-26.572703128909964,-26.072987872477754,-27.766694085836754,-29.12089030386408
Minimum Crosstalk per overlaps,3,7,all,all, ,-29.554339061805692,-24.744367704832676,-23.946987335082227,-26.914730671129853,-29.986217932610746
Minimum Crosstalk per overlaps,3,9,all,all, ,-23.51972032835874,-23.33745386612396,-23.629958924609035,-28.5351640375208,-24.366406375661626
Minimum Crosstalk per overlaps,3,12,all,all, ,-24.118298520759126,-20.141291470167552,-24.412195649939186,-23.310901942679738,-23.81134027320675
Minimum Crosstalk per overlaps,3,14,all,all, ,-20.1824885039553,-21.557249016455682,-22.07546392527614,-21.44944717132653,0.0
Minimum Crosstalk per overlaps,3,18,all,all, ,-20.627206780385002,0.0,-19.39152420275702,0.0,-24.543150970497962
Minimum Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,4,1,all,all, ,-36.83719714805964,-34.92675928700683,-37.20932366985305,-35.029727643761404,-38.088482702139615
Minimum Crosstalk per overlaps,4,2,all,all, ,-32.65904863299285,-33.79549514763238,-33.85342242832586,-33.58152762259277,-34.3081999616283
Minimum Crosstalk per overlaps,4,5,all,all, ,-30.50755697036829,-28.525743234645546,-27.641661842943286,-32.479395147956296,-29.487936202629488
Minimum Crosstalk per overlaps,4,7,all,all, ,-30.24596643296348,-28.13566210423213,-27.734354335041765,-31.011901186326476,-25.73581819319324
Minimum Crosstalk per overlaps,4,9,all,all, ,-26.51272005376102,-29.98531156779891,-24.766784574630826,-27.348730132429857,-25.552887778728994
Minimum Crosstalk per overlaps,4,12,all,all, ,-26.3929433417012,-24.966896920871132,-25.207796817792808,-22.845647401906277,-27.47715290343512
Minimum Crosstalk per overlaps,4,14,all,all, ,-23.338466531426025,-21.24528936422321,-23.968623460221448,-21.82298401162866,-23.964013519235117
Minimum Crosstalk per overlaps,4,18,all,all, ,-21.11526898280738,-21.1432545219842,-20.376864701861418,-23.760307402844184,-19.716603335033952


Maximum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,0,1,all,all, ,-32.429177238791794,-26.522994147572746,-29.291246790509472,-30.15707188590938,-37.91331015236129
Maximum Crosstalk per overlaps,0,2,all,all, ,-23.432667096169478,-24.896338615626398,-30.087559857569044,-24.58313159967934,0.0
Maximum Crosstalk per overlaps,0,5,all,all, ,-26.18493858526392,-24.136754521637698,0.0,0.0,0.0
Maximum Crosstalk per overlaps,0,7,all,all, ,-25.616881144948792,0.0,-22.14256704619119,0.0,-24.814186513868908
Maximum Crosstalk per overlaps,0,9,all,all, ,-22.631504326419964,-21.34043372875098,-21.864863772720216,0.0,-22.883765159657884
Maximum Crosstalk per overlaps,0,12,all,all, ,-25.506129235552603,0.0,0.0,-20.328874338705518,0.0
Maximum Crosstalk per overlaps,0,14,all,all, ,-21.95817799329045,0.0,0.0,0.0,0.0
Maximum Crosstalk per overlaps,0,18,all,all, ,-22.60492607461568,-19.464439609507515,0.0,0.0,0.0
Maximum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,1,1,all,all, ,0.0,-32.36723259425367,-26.84303485275086,-27.359247272229425,0.0
Maximum Crosstalk per overlaps,1,2,all,all, ,-23.655278617881162,-23.680901299661656,-26.694454128867346,-26.15575145091924,-22.76267005159636
Maximum Crosstalk per overlaps,1,5,all,all, ,-21.57526693051507,-23.871346655244444,-20.08724456846138,-21.896315110482494,-24.089742964666584
Maximum Crosstalk per overlaps,1,7,all,all, ,-23.78841204885819,-20.84240128646277,-21.717693330546023,-24.186557776237436,-21.168801222097592
Maximum Crosstalk per overlaps,1,9,all,all, ,0.0,-20.932283991383393,-20.03308810805979,0.0,-21.759975781651768
Maximum Crosstalk per overlaps,1,12,all,all, ,0.0,-19.47125098554502,-20.556421415969854,-20.62157728458699,0.0
Maximum Crosstalk per overlaps,1,14,all,all, ,-19.639581936162177,0.0,-22.855053512402623,0.0,-21.957986001969118
Maximum Crosstalk per overlaps,1,18,all,all, ,0.0,0.0,0.0,0.0,0.0
Maximum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,2,1,all,all, ,-31.48036171101476,-24.997079023197195,-30.860887440383276,-25.76569169766856,-26.768757135480982
Maximum Crosstalk per overlaps,2,2,all,all, ,-24.02716336045095,-24.878262532246698,-23.515591146435085,-22.722600283226306,-26.864907865130213
Maximum Crosstalk per overlaps,2,5,all,all, ,-23.8079936472519,-20.415360456528198,-20.876417470426443,-21.767041481224304,-20.994091832214906
Maximum Crosstalk per overlaps,2,7,all,all, ,-19.768599604729463,-23.957805214865427,-19.883791203047757,-21.989802567176863,-20.297393341339447
Maximum Crosstalk per overlaps,2,9,all,all, ,-21.81037693679172,-20.00992517507026,-21.534780745784495,-19.334068119531306,-20.263501792678017
Maximum Crosstalk per overlaps,2,12,all,all, ,0.0,0.0,0.0,-22.01925479706975,-25.56161478478041
Maximum Crosstalk per overlaps,2,14,all,all, ,-19.911540969928378,-22.52075496673242,0.0,0.0,0.0
Maximum Crosstalk per overlaps,2,18,all,all, ,0.0,0.0,0.0,0.0,-19.100528688362836
Maximum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
